cust_id,contact_type,duration,contact_num,p_days,p_outcome,y,date
44715,cellular,108,2,999,nonexistent,no,02/08/2008
62194,telephone,422,5,999,nonexistent,no,03/06/2008
25436,cellular,107,13,999,nonexistent,no,16/07/2008
39633,cellular,311,1,999,nonexistent,no,15/07/2008
92803,cellular,51,1,999,nonexistent,no,09/11/2008
66942,cellular,462,1,999,nonexistent,no,04/08/2008
25877,telephone,50,3,999,nonexistent,no,22/05/2008
4146,cellular,281,1,999,nonexistent,no,17/11/2008
17401,cellular,78,1,999,failure,no,20/10/2009
17825,telephone,345,9,999,nonexistent,no,28/05/2008
92128,telephone,139,4,999,nonexistent,no,29/07/2008
32821,cellular,103,1,999,nonexistent,no,21/08/2008
86589,cellular,166,1,999,nonexistent,no,26/08/2008
34342,cellular,141,2,999,nonexistent,no,16/05/2009
76702,telephone,306,4,999,nonexistent,no,28/06/2008
69474,telephone,232,1,999,nonexistent,no,17/05/2008
41263,cellular,295,1,999,nonexistent,no,27/08/2008
35385,telephone,54,3,999,nonexistent,no,11/05/2008
3398,telephone,290,1,999,nonexistent,no,16/05/2008
91978,cellular,401,2,999,nonexistent,yes,11/10/2010
44317,cellular,389,2,999,nonexistent,no,09/08/2008
97890,cellular,246,4,999,nonexistent,no,04/07/2008
49290,telephone,572,4,999,nonexistent,no,14/06/2008
6614,cellular,307,1,999,nonexistent,no,28/07/2008
57446,cellular,77,3,999,nonexistent,no,02/11/2008
47600,telephone,320,3,999,nonexistent,no,06/05/2008
70893,telephone,187,1,999,nonexistent,no,09/06/2008
50644,cellular,18,40,999,nonexistent,no,25/07/2008
60991,telephone,158,4,999,nonexistent,no,02/05/2008
48525,cellular,417,1,999,nonexistent,yes,09/06/2009
46673,telephone,590,4,999,nonexistent,no,21/06/2008
25358,telephone,109,3,999,nonexistent,no,29/07/2008
24087,cellular,358,3,999,nonexistent,no,26/11/2008
94466,cellular,480,2,999,nonexistent,no,10/05/2009
65914,cellular,249,4,999,failure,no,07/05/2009
50214,cellular,160,3,999,nonexistent,no,06/08/2008
6794,telephone,136,2,999,nonexistent,no,13/05/2008
34093,cellular,381,4,999,nonexistent,no,28/08/2008
82461,cellular,167,4,999,nonexistent,no,28/05/2009
14280,cellular,214,2,999,nonexistent,no,08/09/2010
9850,cellular,129,2,999,nonexistent,no,13/11/2008
90237,telephone,90,4,999,nonexistent,no,08/05/2008
38716,cellular,168,1,999,nonexistent,no,06/05/2009
64162,cellular,81,4,999,nonexistent,no,03/07/2008
55368,telephone,166,2,999,nonexistent,no,24/05/2008
34479,telephone,165,4,999,nonexistent,no,09/06/2008
55351,cellular,844,2,6,success,no,04/07/2010
36214,cellular,74,8,999,nonexistent,no,09/08/2008
54698,cellular,259,3,999,nonexistent,no,21/08/2008
15706,cellular,790,1,999,nonexistent,no,23/08/2008
79530,telephone,80,2,999,nonexistent,no,15/07/2008
6002,telephone,275,4,999,nonexistent,no,12/05/2008
96318,cellular,262,2,999,nonexistent,yes,01/06/2009
11593,telephone,153,1,999,nonexistent,no,16/07/2008
39474,telephone,884,4,999,nonexistent,yes,08/06/2008
70458,cellular,197,1,999,nonexistent,no,26/05/2009
21886,telephone,318,1,999,nonexistent,no,23/05/2008
82765,cellular,107,3,999,failure,no,19/05/2009
88412,telephone,72,1,999,nonexistent,no,28/05/2008
51147,cellular,68,2,999,failure,no,05/05/2009
90011,cellular,90,3,999,nonexistent,no,28/07/2008
60717,cellular,128,1,999,nonexistent,no,27/08/2008
86923,telephone,156,1,999,nonexistent,no,06/06/2008
31572,telephone,319,1,999,nonexistent,no,28/05/2008
99405,cellular,454,2,999,nonexistent,no,28/08/2008
5998,cellular,190,9,999,nonexistent,no,21/08/2008
62323,telephone,5,1,999,nonexistent,no,20/11/2008
17556,cellular,714,5,999,nonexistent,yes,27/08/2008
76790,telephone,107,2,999,nonexistent,no,02/05/2008
56175,cellular,19,1,999,failure,no,22/05/2009
99460,cellular,240,1,999,nonexistent,no,21/08/2008
83426,telephone,9,1,999,nonexistent,no,21/09/2010
24570,telephone,658,2,999,nonexistent,no,09/06/2008
20142,cellular,271,2,999,nonexistent,yes,18/03/2009
11999,cellular,368,2,3,success,yes,05/11/2009
57863,cellular,161,1,999,nonexistent,no,14/11/2008
92406,cellular,275,2,999,failure,yes,07/06/2010
86904,cellular,122,1,999,failure,no,26/11/2008
